Date,RATE A,RATE B,RATE C,Load
05/01/2023 12.30,252.0,0.0,0.0,252.0
05/01/2023 12.45,252.0,0.0,0.0,252.0
05/01/2023 13.00,220.0,0.0,0.0,220.0
05/01/2023 13.15,172.0,0.0,0.0,172.0
05/01/2023 13.30,172.0,0.0,0.0,172.0
05/01/2023 13.45,172.0,0.0,0.0,172.0
05/01/2023 14.00,172.0,0.0,0.0,172.0
05/01/2023 14.15,172.0,0.0,0.0,172.0
05/01/2023 14.30,304.0,0.0,0.0,304.0
05/01/2023 14.45,312.0,0.0,0.0,312.0
05/01/2023 15.00,312.0,0.0,0.0,312.0
05/01/2023 15.15,274.0,0.0,0.0,274.0
05/01/2023 15.30,252.0,0.0,0.0,252.0
05/01/2023 15.45,252.0,0.0,0.0,252.0
05/01/2023 16.00,252.0,0.0,0.0,252.0
05/01/2023 16.15,252.0,0.0,0.0,252.0
05/01/2023 16.30,254.0,0.0,0.0,254.0
05/01/2023 16.45,254.0,0.0,0.0,254.0
05/01/2023 17.00,234.0,0.0,0.0,234.0
05/01/2023 17.15,172.0,0.0,0.0,172.0
05/01/2023 17.30,172.0,0.0,0.0,172.0
05/01/2023 17.45,384.0,0.0,0.0,384.0
05/01/2023 18.00,442.0,0.0,0.0,442.0
05/01/2023 18.15,442.0,0.0,0.0,442.0
05/01/2023 18.30,442.0,0.0,0.0,442.0
05/01/2023 18.45,442.0,0.0,0.0,442.0
05/01/2023 19.00,442.0,0.0,0.0,442.0
05/01/2023 19.15,442.0,0.0,0.0,442.0
05/01/2023 19.30,442.0,0.0,0.0,442.0
05/01/2023 19.45,442.0,0.0,0.0,442.0
05/01/2023 20.00,442.0,0.0,0.0,442.0
05/01/2023 20.15,442.0,0.0,0.0,442.0
05/01/2023 20.30,270.0,0.0,0.0,270.0
05/01/2023 20.45,256.0,0.0,0.0,256.0
05/01/2023 21.00,256.0,0.0,0.0,256.0
05/01/2023 21.15,256.0,0.0,0.0,256.0
05/01/2023 21.30,254.0,0.0,0.0,254.0
05/01/2023 21.45,254.0,0.0,0.0,254.0
05/01/2023 22.00,0.0,254.0,0.0,254.0
05/01/2023 22.15,0.0,254.0,0.0,254.0
05/01/2023 22.30,0.0,254.0,0.0,254.0
05/01/2023 22.45,0.0,254.0,0.0,254.0
05/01/2023 23.00,0.0,254.0,0.0,254.0
05/01/2023 23.15,0.0,254.0,0.0,254.0
05/01/2023 23.30,0.0,254.0,0.0,254.0
05/01/2023 23.45,0.0,256.0,0.0,256.0
06/01/2023 00.00,0.0,254.0,0.0,254.0
06/01/2023 00.15,0.0,192.0,0.0,192.0
06/01/2023 00.30,0.0,174.0,0.0,174.0
06/01/2023 00.45,0.0,172.0,0.0,172.0
06/01/2023 01.00,0.0,172.0,0.0,172.0
06/01/2023 01.15,0.0,172.0,0.0,172.0
06/01/2023 01.30,0.0,172.0,0.0,172.0
06/01/2023 01.45,0.0,172.0,0.0,172.0
06/01/2023 02.00,0.0,172.0,0.0,172.0
06/01/2023 02.15,0.0,172.0,0.0,172.0
06/01/2023 02.30,0.0,172.0,0.0,172.0
06/01/2023 02.45,0.0,172.0,0.0,172.0
06/01/2023 03.00,0.0,172.0,0.0,172.0
06/01/2023 03.15,0.0,172.0,0.0,172.0
06/01/2023 03.30,0.0,172.0,0.0,172.0
06/01/2023 03.45,0.0,172.0,0.0,172.0
06/01/2023 04.00,0.0,172.0,0.0,172.0
06/01/2023 04.15,0.0,172.0,0.0,172.0
06/01/2023 04.30,0.0,172.0,0.0,172.0
06/01/2023 04.45,0.0,172.0,0.0,172.0
06/01/2023 05.00,0.0,172.0,0.0,172.0
06/01/2023 05.15,0.0,174.0,0.0,174.0
06/01/2023 05.30,0.0,172.0,0.0,172.0
06/01/2023 05.45,0.0,174.0,0.0,174.0
06/01/2023 06.00,0.0,264.0,0.0,264.0
06/01/2023 06.15,0.0,314.0,0.0,314.0
06/01/2023 06.30,0.0,314.0,0.0,314.0
06/01/2023 06.45,0.0,272.0,0.0,272.0
06/01/2023 07.00,0.0,254.0,0.0,254.0
06/01/2023 07.15,0.0,254.0,0.0,254.0
06/01/2023 07.30,0.0,254.0,0.0,254.0
06/01/2023 07.45,0.0,282.0,0.0,282.0
06/01/2023 08.00,0.0,440.0,0.0,440.0
06/01/2023 08.15,0.0,440.0,0.0,440.0
