Date,Load,Load1,kWh,Load2,kWh,Load3,kWh
14/1/2022 6.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 7.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 8.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 9.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 10.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 11.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 12.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 13.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 14.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 15.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 16.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 17.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 18.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 19.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 20.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 21.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 22.00,0,0,422312.5,0,408806.2,0,128463.9
14/1/2022 23.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 0.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 1.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 2.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 3.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 4.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 5.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 6.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 7.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 8.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 9.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 10.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 11.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 12.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 13.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 14.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 15.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 16.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 17.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 18.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 19.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 20.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 21.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 22.00,0,0,422312.5,0,408806.2,0,128463.9
15/1/2022 23.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 0.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 1.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 2.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 3.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 4.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 5.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 6.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 7.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 8.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 9.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 10.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 11.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 12.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 13.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 14.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 15.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 16.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 17.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 18.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 19.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 20.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 21.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 22.00,0,0,422312.5,0,408806.2,0,128463.9
16/1/2022 23.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 0.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 1.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 2.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 3.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 4.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 5.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 6.00,0,0,422312.5,0,408806.2,0,128463.9
17/1/2022 7.00,62.4,0,422312.5,0,408806.2,62.4,128526.3
