Curve_Robinson Lifestyle Ratchaphruek_20240610174304
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
2023-11-09 04:30:00,448.078,448.078,0
2023-11-09 05:00:00,462.411,462.411,0
2023-11-09 05:30:00,438.967,438.967,0
2023-11-09 06:00:00,470.77,470.77,0
2023-11-09 06:30:00,487.333,499.867,12.534
2023-11-09 07:00:00,371.102,485.252,114.15
2023-11-09 07:30:00,241.432,491.831,250.399
2023-11-09 08:00:00,289.365,628.975,339.61
2023-11-09 08:30:00,208.771,697.081,488.31
2023-11-09 09:00:00,166.849,841.172,674.323
2023-11-09 09:30:00,163.898,1057.619,893.721
2023-11-09 10:00:00,-81.828,1063.578,1145.406
2023-11-09 10:30:00,898.468,1844.999,946.531
2023-11-09 11:00:00,3049.61,3546.662,497.052
2023-11-09 11:30:00,3161.471,3646.614,485.143
2023-11-09 12:00:00,3360.334,3728.467,368.133
2023-11-09 12:30:00,4108.329,4279.584,171.255
2023-11-09 13:00:00,3367.951,3856.896,488.945
2023-11-09 13:30:00,3264.069,3764.66,500.591
2023-11-09 14:00:00,3218.097,3673.453,455.356
2023-11-09 14:30:00,3221.036,3685.609,464.573
2023-11-09 15:00:00,3183.883,3556.774,372.891
2023-11-09 15:30:00,3370.372,3655.83,285.458
2023-11-09 16:00:00,3532.254,3736.691,204.437
2023-11-09 16:30:00,3570.063,3706.586,136.523
2023-11-09 17:00:00,3722.018,3799.849,77.831
2023-11-09 17:30:00,3719.64,3742.536,22.896
2023-11-09 18:00:00,3939.539,3939.566,0.027
2023-11-09 18:30:00,3854.849,3854.849,0
2023-11-09 19:00:00,3667.784,3667.784,0
2023-11-09 19:30:00,3665.088,3665.088,0
2023-11-09 20:00:00,3577.921,3577.921,0
2023-11-09 20:30:00,3539.635,3539.635,0
2023-11-09 21:00:00,3346.13,3346.13,0
2023-11-09 21:30:00,2739.795,2739.795,0
2023-11-09 22:00:00,2507.378,2507.378,0
2023-11-09 22:30:00,854.129,854.129,0
2023-11-09 23:00:00,1361.7,1361.7,0
2023-11-09 23:30:00,753.134,753.134,0
2023-11-10 00:00:00,817.364,817.364,0
2023-11-10 00:30:00,722.936,722.936,0
2023-11-10 01:00:00,637.188,637.188,0
2023-11-10 01:30:00,629.079,629.079,0
2023-11-10 02:00:00,577.676,577.676,0
2023-11-10 02:30:00,559.644,559.644,0
2023-11-10 03:00:00,566.736,566.736,0
2023-11-10 03:30:00,600.092,600.092,0
2023-11-10 04:00:00,514.804,514.804,0
2023-11-10 04:30:00,482.824,482.824,0
